image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,crop_safe
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\02.png,02.png,447,945,0.473,1,7.37,7.37,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\03.png,03.png,525,939,0.5591,1,6.98,6.98,8.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\04.png,04.png,339,927,0.3657,1,4.91,4.91,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\05.png,05.png,750,945,0.7937,1,14.74,14.74,21.2,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\06.png,06.png,591,957,0.6176,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\07.png,07.png,714,957,0.7461,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\08.png,08.png,537,897,0.5987,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\men\poly_linear_full_zip_hoodie_and_pants\09.png,09.png,342,903,0.3787,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\other\UEFA_Euro16-Top_Glider_Ball.png,UEFA_Euro16-Top_Glider_Ball.png,500,500,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\booty_shorts\01.png,01.png,558,942,0.5924,1,6.38,6.38,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\booty_shorts\02.png,02.png,750,957,0.7837,0,,,,
